iter	Passed	Remaining
424	2255	3051
425	2259	3044
426	2264	3038
427	2268	3031
428	2272	3024
429	2276	3017
430	2280	3010
431	2284	3004
432	2288	2997
433	2293	2990
434	2297	2983
435	2301	2976
436	2305	2969
437	2309	2962
438	2313	2956
439	2324	2958
440	2331	2955
441	2338	2952
442	2345	2949
443	2352	2945
444	2359	2942
445	2367	2940
446	2374	2937
447	2381	2934
448	2391	2934
449	2395	2927
450	2405	2927
451	2409	2921
452	2413	2914
453	2418	2908
454	2422	2901
455	2426	2894
456	2430	2888
457	2435	2881
458	2439	2875
459	2443	2868
460	2447	2861
461	2451	2855
462	2456	2848
463	2460	2842
464	2464	2835
465	2468	2828
466	2472	2822
467	2476	2815
468	2480	2808
469	2485	2802
470	2489	2796
471	2496	2792
472	2503	2789
473	2510	2785
474	2517	2782
475	2524	2778
476	2531	2775
477	2538	2772
478	2545	2768
479	2553	2766
480	2560	2762
481	2573	2766
482	2579	2760
483	2583	2754
484	2587	2747
485	2591	2741
486	2596	2735
487	2600	2728
488	2604	2722
489	2609	2715
490	2613	2709
491	2617	2702
492	2621	2696
493	2625	2689
494	2629	2683
495	2634	2676
496	2638	2670
497	2642	2663
498	2643	2654
499	2647	2647
500	2652	2641
501	2656	2634
502	2660	2628
503	2667	2625
504	2676	2623
505	2683	2619
506	2689	2615
507	2696	2611
508	2702	2607
509	2709	2603
510	2716	2599
511	2723	2595
512	2730	2591
513	2737	2587
514	2751	2591
515	2758	2586
516	2762	2581
517	2766	2574
518	2771	2568
519	2775	2562
520	2779	2555
521	2784	2549
522	2788	2542
523	2792	2536
524	2796	2530
525	2800	2523
526	2804	2517
527	2808	2510
528	2812	2504
529	2817	2498
530	2821	2491
531	2825	2485
532	2829	2478
533	2833	2472
534	2837	2466
535	2844	2462
536	2851	2458
537	2860	2456
538	2867	2452
539	2873	2447
540	2879	2443
541	2886	2439
542	2893	2435
543	2900	2431
544	2908	2428
545	2915	2424
546	2926	2423
547	2929	2415
548	2940	2415
549	3020	2471
550	3029	2468
551	3036	2464
552	3043	2460
553	3126	2517
554	3134	2513
555	3140	2508
556	3147	2503
557	3154	2498
558	3185	2512
559	3192	2508
560	3199	2503
561	3207	2499
562	3225	2503
563	3233	2499
564	3240	2494
565	3247	2490
566	3255	2486
567	3262	2481
568	3268	2476
569	3275	2471
570	3282	2466
571	3289	2461
572	3295	2456
573	3302	2451
574	3311	2447
575	3318	2442
576	3326	2438
577	3382	2469
578	3419	2486
579	3427	2481
580	3443	2483
581	3450	2478
582	3457	2472
583	3464	2467
584	3471	2462
585	3478	2457
586	3485	2452
587	3491	2446
588	3497	2440
589	3505	2435
590	3512	2430
591	3519	2425
592	3526	2420
593	3537	2418
594	3548	2415
595	3555	2410
596	3563	2405
597	3572	2401
598	3578	2395
599	3586	2391
600	3595	2386
601	3678	2431
602	3685	2426
603	3693	2421
604	3700	2416
605	3712	2413
606	3719	2408
607	3741	2412
608	3749	2407
609	3757	2402
610	3764	2396
611	3772	2391
612	3779	2386
613	3786	2380
614	3793	2375
615	3800	2369
616	3807	2363
617	3814	2357
618	3821	2352
619	3829	2346
620	3836	2341
621	3842	2335
622	3850	2329
623	3858	2324
624	3877	2326
625	3883	2320
626	3891	2314
627	3898	2309
628	3906	2303
629	3912	2297
630	3919	2292
631	3926	2286
632	3932	2280
633	3940	2274
634	3947	2268
635	3955	2263
636	3962	2258
637	3969	2252
638	3982	2249
639	3989	2244
640	3995	2237
641	4000	2230
642	4005	2223
643	4009	2216
644	4013	2208
645	4017	2201
646	4021	2194
647	4025	2186
648	4030	2179
649	4034	2172
650	4038	2165
651	4042	2157
652	4047	2150
653	4051	2143
654	4055	2136
655	4062	2130
656	4070	2124
657	4076	2119
658	4086	2114
659	4093	2108
660	4100	2102
661	4107	2097
662	4114	2091
663	4121	2085
664	4127	2079
665	4134	2073
666	4142	2068
667	4154	2065
668	4163	2059
669	4167	2052
670	4171	2045
671	4176	2038
672	4180	2031
673	4184	2023
674	4189	2017
675	4193	2009
676	4197	2002
677	4201	1995
678	4206	1988
679	4210	1981
680	4214	1974
681	4218	1967
682	4222	1959
683	4227	1952
684	4231	1945
685	4238	1939
686	4245	1934
687	4251	1928
688	4259	1922
689	4266	1916
690	4273	1910
691	4280	1905
692	4286	1899
693	4293	1893
694	4300	1887
695	4307	1881
696	4314	1875
697	4321	1869
698	4332	1865
699	4342	1861
700	4346	1854
701	4351	1847
702	4355	1840
703	4359	1833
704	4364	1826
705	4368	1819
706	4372	1812
707	4376	1805
708	4380	1798
709	4385	1791
710	4389	1784
711	4393	1777
712	4397	1770
713	4401	1763
714	4409	1757
715	4417	1752
716	4424	1746
717	4431	1740
718	4438	1734
719	4444	1728
720	4452	1722
721	4458	1716
722	4465	1710
723	4473	1705
724	4480	1699
725	4487	1693
726	4494	1687
727	4511	1685
728	4519	1679
729	4523	1673
730	4527	1666
731	4531	1659
732	4536	1652
733	4540	1645
734	4544	1638
735	4548	1631
736	4552	1624
737	4556	1617
738	4561	1610
739	4565	1604
740	4570	1597
741	4574	1590
742	4578	1583
743	4585	1577
744	4592	1572
745	4600	1566
746	4606	1560
747	4613	1554
748	4620	1548
749	4626	1542
750	4633	1536
751	4640	1530
752	4646	1524
753	4652	1517
754	4659	1512
755	4666	1506
756	4673	1500
757	4679	1494
758	4693	1490
759	4700	1484
760	4704	1477
761	4708	1470
762	4713	1463
763	4717	1457
764	4721	1450
765	4726	1443
766	4730	1437
767	4734	1430
768	4738	1423
769	4742	1416
770	4747	1409
771	4751	1403
772	4755	1396
773	4762	1390
774	4769	1384
775	4776	1378
776	4784	1373
777	4790	1367
778	4793	1359
779	4800	1354
780	4807	1348
781	4814	1342
782	4821	1336
783	4828	1330
784	4835	1324
