iter	Logloss
0	0.6922260284
1	0.6909260273
2	0.689708519
3	0.6880961418
4	0.6866529465
5	0.6855810642
6	0.6848124027
7	0.6838148117
8	0.6824652672
9	0.6810428143
10	0.6800251961
11	0.679391098
12	0.6783146858
13	0.6776832581
14	0.6769344807
15	0.6758883953
16	0.6750760078
17	0.6737579346
18	0.6723392487
19	0.6703894615
20	0.6689896584
21	0.667518425
22	0.6666567802
23	0.6656171799
24	0.6643773556
25	0.6631510735
26	0.6623550415
27	0.6610397339
28	0.6604784489
29	0.6592605114
30	0.6583842278
31	0.6572990417
32	0.6561163902
33	0.6550144196
34	0.6542466164
35	0.6533927917
36	0.6523705482
37	0.6512636185
38	0.6501852512
39	0.6490048409
40	0.6480978489
41	0.6466953278
42	0.6458434582
43	0.6446306229
44	0.6436020374
45	0.642742157
46	0.6416531563
47	0.6403414726
48	0.6393884182
49	0.6384546757
50	0.6377799988
51	0.6370145321
52	0.636132431
53	0.6352426529
54	0.6345163345
55	0.6336745262
56	0.6329165459
57	0.6321089745
58	0.6311479568
59	0.6303289413
60	0.6291044712
61	0.628541851
62	0.6274208069
63	0.6266512871
64	0.625616169
65	0.6247917175
66	0.6239168644
67	0.6232254982
68	0.6225785732
69	0.6218080521
70	0.6208705902
71	0.6201649666
72	0.6194316864
73	0.6187337399
74	0.6177990913
75	0.6167431355
76	0.6159680367
77	0.6151486397
78	0.6143443108
79	0.6134474754
80	0.6126872063
81	0.612092638
82	0.6113161087
83	0.6106212139
84	0.6097676754
85	0.608842659
86	0.6077670097
87	0.6071680069
88	0.606636095
89	0.6059036255
90	0.605249548
91	0.6045419216
92	0.6038412571
93	0.6031859398
94	0.6020999908
95	0.6011896133
96	0.6001127243
97	0.599078989
98	0.5985209465
99	0.5977544785
100	0.597072649
101	0.596345377
102	0.5957129955
103	0.5954499245
104	0.5942690372
105	0.5935761929
106	0.5930382729
107	0.5918669701
108	0.5911548615
109	0.590524292
110	0.5895738602
111	0.5887050629
112	0.588340807
113	0.5875976563
114	0.5868603706
115	0.5863197803
116	0.5858997345
117	0.5851675987
118	0.5845314026
119	0.5838762283
120	0.5831934452
121	0.5824352264
122	0.5817655087
123	0.5810780048
124	0.5801643848
125	0.5796450615
126	0.5790566444
127	0.5784298897
128	0.5777006149
129	0.5768046379
130	0.5754639626
131	0.5750328064
132	0.5743154526
133	0.573650074
134	0.572852087
135	0.5721736431
136	0.5715315819
137	0.570880127
138	0.5702939987
139	0.5694014549
140	0.5688371658
141	0.5680040359
142	0.567403698
143	0.5667766571
144	0.5656407356
145	0.5651930809
146	0.5643002987
147	0.5636424065
148	0.5629630089
149	0.5622566223
150	0.5616535187
151	0.5609354973
152	0.5600634575
153	0.5592891693
154	0.5589323044
155	0.5581522465
156	0.5578480244
157	0.5571496964
158	0.556614399
159	0.5558279037
160	0.5549613476
161	0.554160881
162	0.5534505367
163	0.5527409554
164	0.5517595291
165	0.551204586
166	0.5503841877
167	0.5498388767
168	0.5492745876
169	0.5488162994
170	0.5483595371
171	0.547898674
172	0.5475172043
173	0.5470134735
174	0.5462813377
175	0.5458699226
176	0.5455255508
177	0.5447156906
178	0.5440681458
179	0.5437001228
180	0.5430590153
181	0.5422461987
182	0.5417633533
183	0.5408941746
184	0.540374136
185	0.5395652294
186	0.5390742302
187	0.5383750916
188	0.5376960278
189	0.5371537685
190	0.5364796638
191	0.5360512733
192	0.5354919434
193	0.5346899986
194	0.5339140415
195	0.5333380222
196	0.5324222088
197	0.5318252563
198	0.5307734489
199	0.5303709984
200	0.53014431
201	0.5296172142
202	0.52869277
203	0.5284479141
204	0.5280576706
205	0.527365303
206	0.5267267227
207	0.5258289337
208	0.5252467155
209	0.5245003223
210	0.5239347935
211	0.5233075142
212	0.5229393005
213	0.5221982479
214	0.5214390755
215	0.5210084915
216	0.5204165459
217	0.5200728416
218	0.5192448616
219	0.5184399128
220	0.5178832531
221	0.5168221474
222	0.5164416313
223	0.5157822609
224	0.5152157784
225	0.5147573471
226	0.5141543388
227	0.5135743618
228	0.5128543854
229	0.5121522427
230	0.5115809441
231	0.5110940933
232	0.5106116295
233	0.5101658821
234	0.5096892357
235	0.509203434
236	0.5089420319
237	0.5082258224
238	0.507533741
239	0.5070757389
240	0.5062955856
241	0.5055392265
242	0.5052586555
243	0.5044532776
244	0.5037439346
245	0.5034933567
246	0.5029684067
247	0.5024777412
248	0.5020889282
249	0.5017577171
250	0.5012829781
251	0.5008454323
252	0.5005320072
253	0.5000366688
254	0.4995141983
255	0.4991956234
256	0.4987443447
257	0.4983968735
258	0.4976503849
259	0.4973146439
260	0.4968358994
261	0.4964303017
262	0.4962035179
263	0.4955588341
264	0.4950637817
265	0.4946079731
266	0.4941396713
267	0.4937885284
268	0.4934859753
269	0.4931070328
270	0.4927662373
271	0.4920143604
272	0.491328001
273	0.4907662392
274	0.4903496265
275	0.4897491455
276	0.4891013622
277	0.4886638641
278	0.4879245758
279	0.4873664856
280	0.4869758606
281	0.4868338585
282	0.4865615845
283	0.4857167244
284	0.485104847
285	0.4846469879
286	0.4841657162
287	0.4838306427
288	0.4831382275
289	0.4826258659
290	0.4822171688
291	0.4819288254
292	0.4814926147
293	0.4810464382
294	0.4805466652
295	0.4799508095
296	0.4793667316
297	0.4788946629
298	0.4785816669
299	0.4779782295
300	0.4773932934
301	0.4770122051
302	0.47647295
303	0.4759781837
304	0.4755488396
305	0.4748604774
306	0.4740907669
307	0.4736330032
308	0.4733082771
309	0.4727578163
310	0.4723976612
311	0.4717586517
312	0.4713376522
313	0.4706653595
314	0.4699899673
315	0.4695608139
316	0.4689907551
317	0.4686715126
318	0.4683300018
319	0.4680826187
320	0.4675532818
321	0.4669246674
322	0.4666250706
323	0.466132164
324	0.4657325745
325	0.4653125763
326	0.4647972107
327	0.4643851757
328	0.463994503
329	0.4633550167
330	0.4629757881
331	0.4622065067
332	0.4614999294
333	0.4607357025
334	0.4603446007
335	0.4599284172
336	0.4595468521
337	0.4591727257
338	0.4587872505
339	0.458402729
340	0.4579694748
341	0.4575993538
342	0.4568771362
343	0.4563277245
344	0.4558063507
345	0.4555030346
346	0.4550079823
347	0.4546728611
348	0.4542021275
349	0.4536522865
350	0.4532470703
351	0.4528428555
352	0.4526646614
353	0.4521930695
354	0.4515222549
355	0.4509870052
356	0.4505422592
357	0.4501760483
358	0.4498958111
359	0.4495993614
360	0.4492557049
361	0.4489203453
